"V1","V2","V3","V4","V5","V6"
3434,1247,2318,1510,602,641
3182,1151,3136,3353,2720,2324
1291,1559,1108,1276,2325,48
761,2813,28,2435,3361,3523
2509,1533,1181,3103,1722,832
1271,2194,1976,1299,99,3298
145,2610,431,2947,574,2782
1593,2475,2306,2987,180,1490
1807,1308,1035,1514,891,2179
553,965,2261,1751,329,1602
2075,2043,1668,1293,2749,1165
1359,2101,400,1508,1657,1913
2829,3300,1659,2747,1889,2778
3491,1287,795,2704,2537,1391
1751,2832,324,690,553,2053
731,2452,750,2258,2788,1834
2939,1247,740,168,3032,65
408,3000,1160,612,1985,2100
1612,787,2299,1054,2288,583
770,3359,647,3516,3324,961
2168,1766,1375,2791,1484,2257
129,1485,912,1844,263,391
1550,1759,1260,257,2603,3521
1833,2320,1642,2497,1808,3018
214,2247,268,1615,3219,3336
2510,1368,1531,2814,982,582
589,1082,1013,1332,1636,3316
2614,1816,1756,1050,2664,1313
2236,1015,675,616,788,1068
2295,703,1777,3083,1528,3081
843,2216,1401,1625,2447,2698
2125,2033,3066,76,927,34
1787,1150,3048,1563,1306,1190
1910,958,3512,2605,1106,1663
1939,563,867,1657,1228,2903
2254,446,2089,2896,2072,1835
3093,1422,2607,3435,674,1907
1453,3305,1418,2394,292,651
781,801,1996,2490,2323,307
3426,1521,2222,3343,1389,2763
1362,3038,260,1009,2940,683
1278,2529,2354,1284,2273,2613
588,232,2127,93,1768,1956
112,3332,1697,2679,998,861
1158,2,3492,2995,2210,1988
1848,3444,2138,2955,3152,2347
131,1821,688,506,2051,2044
3057,1134,409,899,3046,1229
120,1389,1129,1512,1521,3525
1978,1327,2814,2341,60,312
2200,3446,2666,398,1479,216
1937,952,1539,597,2246,1039
2185,862,3068,3494,2265,165
2717,1290,980,308,523,1948
406,1670,2377,1525,2536,2566
1944,1736,808,681,1534,2946
2874,1597,36,3431,786,1172
2665,2528,735,3041,3149,2507
2607,2871,2115,3093,1912,1458
1819,2009,968,483,1013,3490
1183,118,2054,116,2344,14
1568,3019,2139,1069,2979,2258
2599,3194,3062,1646,2495,1471
289,242,2196,1693,1128,1786
114,3419,800,767,1536,1544
2640,1961,592,2959,1279,689
3384,2936,1943,290,2948,448
1644,2007,3462,79,773,1221
772,1647,2795,2824,824,3023
3277,2277,1328,2321,533,3255
3504,2338,2149,3524,3270,2902
1336,3187,3227,529,2127,1475
1702,2842,1321,1095,2482,2974
3488,2326,2913,1424,1454,3034
